선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP,Salary
도태훈,NC,77,76,66,12,10,1,0,1,10,9,6,0,4,14,0,0,3,1,0,0.182,0.289473684,0.242424242,0.531897927,0.190869219,0.196969697,0.473684211,2.991588889,0.110799588,4.658,0.060606061,1,1.827157895,0.01067807,0.215686275,
라모스,LG,51,205,185,45,29,7,1,8,14,25,18,0,2,43,0,0,2,0,0,0.243,0.317073171,0.421621622,0.738694792,0.248088332,0.362162162,0.690140845,20.32808943,0.752892201,25.216,0.178378378,0,0.964717073,0.332604295,0.276119403,
로맥,SSG,107,421,355,80,49,11,0,20,55,52,59,1,4,82,3,3,9,1,0,0.225,0.339667458,0.425352113,0.765019571,0.259188384,0.456338028,0.757042254,43.59238795,1.614532887,55.224,0.2,1.904761905,0.687483333,0.696212852,0.234375,
류지혁,KIA,92,327,273,76,66,8,0,2,37,34,42,1,7,46,3,5,7,0,0,0.278,0.384615385,0.32967033,0.714285714,0.255494505,0.241758242,0.681372549,35.34486869,1.309069211,38.832,0.051282051,0,0.720212963,0.601056589,0.324561404,
마차도,롯데,134,539,466,130,103,21,1,5,83,58,58,1,4,65,7,11,9,8,4,0.279,0.358878505,0.360515021,0.719393526,0.251624082,0.272532189,0.681948424,58.8708628,2.180402326,64.95,0.081545064,6.153846154,0.587001873,0.806941141,0.310173697,
문보경,LG,107,329,278,64,44,11,1,8,37,39,46,1,0,64,2,5,5,3,1,0.23,0.337423313,0.363309353,0.700732665,0.242667829,0.377697842,0.681818182,29.70989862,1.100366616,37.568,0.133093525,4.363636364,0.729249231,0.515625813,0.269230769,
문상철,KT,53,106,96,21,13,6,0,2,14,16,8,0,2,33,0,0,1,2,0,0.219,0.29245283,0.34375,0.63620283,0.217541274,0.3125,0.592105263,6.229475472,0.230721314,10.076,0.125,2,1.465811321,0.044708509,0.31147541,
문성주,LG,31,89,79,18,16,1,0,1,11,10,7,0,2,15,1,1,1,1,1,0.228,0.303370787,0.278481013,0.581851799,0.206137107,0.164556962,0.507936508,5.732032099,0.212297485,7.51,0.050632911,1,1.611921348,0.038114643,0.265625,
박건우,두산,126,525,458,149,110,31,2,6,82,63,50,2,11,72,6,6,16,13,0,0.325,0.4,0.441048035,0.841048035,0.290262009,0.338427948,0.849230769,74.60739234,2.763236753,79.094,0.115720524,8.210526316,0.658173996,0.870348345,0.370466321,48000
박경수,KT,118,280,239,46,27,10,0,9,24,33,34,2,3,76,0,4,7,0,1,0.192,0.300724638,0.347280335,0.648004972,0.222146171,0.372384937,0.597014925,15.54546071,0.575757804,25.332,0.154811715,0,0.784711679,0.225674334,0.24025974,
박계범,두산,118,385,322,86,68,12,1,5,44,46,44,0,9,68,3,10,8,4,3,0.267,0.367724868,0.357142857,0.724867725,0.254761905,0.285714286,0.696356275,38.74382955,1.43495665,45.426,0.090062112,4.444444444,0.680732804,0.644169196,0.321428571,7000
박대온,NC,42,95,85,18,17,1,0,0,4,5,4,0,0,21,2,6,0,0,0,0.212,0.241758242,0.223529412,0.465287654,0.164673562,0.070588235,0.343283582,2.744218557,0.101637724,5.362,0.011764706,,1.514450549,0.009000408,0.272727273,
박동원,Hero,131,481,413,103,60,21,0,22,61,83,53,0,7,114,3,8,12,2,0,0.249,0.342436975,0.460048426,0.802485401,0.269108745,0.447941889,0.782608696,51.12449486,1.89349981,65.738,0.210653753,3.666666667,0.682941176,0.759161971,0.289285714,
박민우,NC,50,215,180,47,38,5,3,1,30,18,22,0,7,23,2,6,4,12,3,0.261,0.360189573,0.338888889,0.699078462,0.24680753,0.3,0.728571429,23.35785561,0.865105763,25.566,0.077777778,1.846153846,0.892919431,0.396858932,0.291139241,
박병호,Hero,118,477,409,93,50,23,0,20,48,76,47,3,14,141,7,7,9,0,1,0.227,0.322851153,0.430317848,0.753169001,0.252862481,0.420537897,0.726993865,40.67065124,1.506320416,60.482,0.202933985,0,0.660989451,0.666095165,0.28627451,
박석민,NC,59,205,171,44,26,8,0,10,27,41,27,1,2,43,2,5,8,0,0,0.257,0.361386139,0.479532164,0.840918302,0.282506803,0.485380117,0.822222222,23.4127328,0.867138252,29.136,0.222222222,0,1.034527363,0.397982874,0.283333333,
박성한,SSG,135,471,407,123,97,21,1,4,53,44,49,0,1,73,2,14,1,12,5,0.302,0.376906318,0.388206388,0.765112706,0.26665944,0.287469287,0.75862069,57.80897068,2.141072988,62.766,0.085995086,6,0.647934641,0.80120632,0.358433735,
박세혁,두산,96,270,237,52,40,12,0,0,25,30,22,0,5,43,3,6,6,4,2,0.219,0.29588015,0.270042194,0.565922344,0.200656616,0.202531646,0.492227979,14.78205828,0.54748364,20.036,0.050632911,0,0.742576779,0.208563086,0.263959391,26000
박승규,삼성,59,78,66,12,8,1,0,3,13,5,9,0,2,9,0,1,4,1,1,0.182,0.298701299,0.333333333,0.632034632,0.217748918,0.348484848,0.576271186,4.763476923,0.176425071,6.268,0.151515152,1.5,1.866974026,0.026636342,0.166666667,
박정우,KIA,32,61,48,9,8,1,0,0,3,4,10,0,2,8,0,1,2,0,2,0.188,0.35,0.208333333,0.558333333,0.209583333,0.208333333,0.511627907,2.978125319,0.110300938,3.886,0.020833333,,2.256083333,0.010583189,0.225,
박정현,한화,33,120,107,21,17,4,0,0,10,9,9,0,0,32,1,4,1,1,0,0.196,0.256410256,0.23364486,0.490055116,0.17379583,0.168224299,0.402298851,3.035768411,0.112435867,6.784,0.037383178,0,1.263119658,0.010992292,0.276315789,
박주홍,Hero,23,56,47,5,3,2,0,0,4,3,9,0,0,21,0,0,1,1,1,0.106,0.25,0.14893617,0.39893617,0.149734043,0.276595745,0.386363636,-1.17677619,-0.043584303,1.542,0.042553191,0,2.338339286,0.001667302,0.192307692,
박준영,NC,111,315,273,57,40,7,2,8,37,31,27,0,10,92,2,5,9,4,3,0.209,0.301282051,0.336996337,0.638278388,0.219826007,0.293040293,0.583333333,16.9180952,0.626596118,28.414,0.128205128,5.333333333,0.706564103,0.256608852,0.28,
박준태,Hero,27,58,46,9,6,3,0,0,10,4,10,0,2,16,0,0,0,1,0,0.196,0.362068966,0.260869565,0.622938531,0.228148426,0.369565217,0.675675676,4.082372414,0.151198978,5.962,0.065217391,0,2.37812069,0.019703084,0.3,
박찬호,KIA,131,483,418,103,82,15,5,1,51,59,54,0,0,73,3,11,11,9,4,0.246,0.330526316,0.313397129,0.643923445,0.227086124,0.258373206,0.587878788,38.87853919,1.439945896,45.686,0.066985646,1.8,0.564593684,0.645758765,0.293948127,
박해민,삼성,127,542,454,132,104,22,1,5,78,54,69,2,3,82,7,16,3,36,15,0.291,0.382739212,0.376651982,0.759391194,0.266395641,0.345814978,0.820588235,65.64271621,2.431211712,74.544,0.085903084,8.780487805,0.607709981,0.838622774,0.339572193,
배성근,롯데,78,109,93,19,14,4,0,1,21,9,14,0,0,36,0,2,1,1,0,0.204,0.308411215,0.279569892,0.587981107,0.20867752,0.290322581,0.546666667,4.96706789,0.183965477,9.022,0.075268817,1,1.41664486,0.028894677,0.321428571,
배정대,KT,144,595,510,132,96,23,1,12,85,68,65,2,12,132,5,8,9,19,7,0.259,0.353040541,0.378431373,0.731471913,0.253476086,0.341176471,0.733502538,58.56828741,2.16919583,73.824,0.119607843,14.70967742,0.580786441,0.805330549,0.323450135,
백용환,한화,36,95,81,12,7,1,0,4,10,4,9,0,3,24,0,2,4,0,0,0.148,0.258064516,0.308641975,0.566706491,0.193289526,0.333333333,0.506849315,2.779008187,0.102926229,6.258,0.160493827,0,1.576494624,0.009227939,0.150943396,
변상권,Hero,72,171,159,38,29,5,4,0,19,20,9,0,0,40,3,3,2,0,0,0.239,0.274853801,0.320754717,0.595608518,0.20387289,0.194968553,0.487804878,10.2187,0.37847037,14.6,0.081761006,,0.960421053,0.111848388,0.31147541,
보어,LG,32,117,100,17,12,2,0,3,7,17,11,0,3,30,3,3,2,0,0,0.17,0.264957265,0.28,0.544957265,0.189230769,0.27,0.494117647,4.441661111,0.164505967,9.3,0.11,0,1.295726496,0.023239681,0.2,
서건창,LG,68,267,235,58,43,12,1,2,33,25,24,0,3,34,1,5,5,6,0,0.247,0.323193916,0.331914894,0.65510881,0.228415986,0.276595745,0.60989011,23.6342209,0.875341515,26.838,0.085106383,3,0.790205323,0.402503282,0.28,
서건창,Hero,76,333,278,72,55,12,1,4,45,28,45,2,6,44,3,4,9,6,4,0.259,0.370481928,0.352517986,0.722999913,0.254846364,0.323741007,0.707762557,34.31063373,1.270764212,38.948,0.09352518,4.8,0.726784848,0.586732448,0.291845494,
손아섭,롯데,139,610,542,173,139,29,2,3,88,58,61,3,3,67,1,4,15,11,6,0.319,0.390444811,0.396678967,0.787123777,0.274869906,0.26199262,0.743589744,78.62952624,2.912204676,79.564,0.077490775,4.714285714,0.592344371,0.881744795,0.359408034,
송민섭,KT,122,65,48,11,11,0,0,0,39,7,12,0,0,22,0,5,0,15,1,0.229,0.383333333,0.229166667,0.6125,0.229791667,0.541666667,1,5.974034188,0.221260525,8.654,0,0,2.263333333,0.041265315,0.423076923,
송성문,Hero,66,274,245,61,44,10,1,6,30,33,25,0,1,42,1,3,2,0,0,0.249,0.319852941,0.371428571,0.691281513,0.236790966,0.293877551,0.629032258,26.27109495,0.973003517,30.574,0.12244898,0,0.793084559,0.454253697,0.277777778,
송우현,Hero,69,282,250,74,52,17,2,3,34,42,28,1,2,49,1,2,4,1,1,0.296,0.370106762,0.416,0.786106762,0.270548043,0.32,0.745856354,33.79863039,1.251801126,37.348,0.12,1.5,0.828539286,0.579422614,0.35678392,
송준석,삼성,19,55,51,12,8,2,0,2,5,4,3,0,1,13,0,0,1,0,0,0.235,0.290909091,0.392156863,0.683065954,0.228948307,0.294117647,0.6,4.192121212,0.155263749,5.696,0.156862745,0,2.509981818,0.02075442,0.277777778,
신본기,KT,96,206,174,41,32,8,0,1,25,19,22,0,4,45,1,6,6,1,2,0.236,0.333333333,0.298850575,0.632183908,0.224712644,0.235632184,0.560283688,12.90671541,0.478026496,17.64,0.063218391,1,0.919089552,0.167292113,0.310077519,
신용수,롯데,71,136,119,31,23,5,2,1,23,6,11,0,3,20,1,3,2,3,1,0.261,0.335820896,0.361344538,0.697165433,0.241455537,0.277310924,0.659340659,13.41152409,0.496723114,15.27,0.100840336,1.5,1.221395522,0.178255991,0.303030303,
신준우,Hero,56,51,42,7,4,3,0,0,7,4,4,0,3,21,1,2,1,0,1,0.167,0.28,0.238095238,0.518095238,0.18552381,0.214285714,0.459459459,0.166830769,0.006178917,2.982,0.071428571,,2.6547,3.36E-05,0.318181818,
심우준,KT,139,460,407,109,81,20,2,6,61,48,32,0,4,65,6,16,2,16,6,0.268,0.322939866,0.371007371,0.693947237,0.238074783,0.275184275,0.663398693,46.01748937,1.704351458,53.6,0.103194103,8.727272727,0.619942094,0.71861585,0.301169591,
안재석,두산,96,224,200,51,39,8,2,2,28,14,16,0,4,53,4,4,4,1,0,0.255,0.316964286,0.345,0.661964286,0.228883929,0.235,0.588235294,17.46935019,0.64701297,23.526,0.09,1.333333333,0.855616071,0.269031659,0.32885906,
안중열,롯데,58,157,125,29,21,5,0,3,19,16,27,0,1,25,1,4,1,0,0,0.232,0.37012987,0.344,0.71412987,0.252558442,0.392,0.731958763,16.28533333,0.603160494,19.26,0.112,0,1.141123377,0.242337413,0.265306122,
안치홍,롯데,119,490,421,129,87,30,2,10,58,82,52,2,3,59,9,14,10,3,6,0.306,0.379381443,0.458432304,0.837813747,0.285329725,0.368171021,0.814935065,65.84370768,2.43865584,72.158,0.152019002,4.615384615,0.681664596,0.839448558,0.329639889,
알몬테,KT,60,250,225,61,45,9,0,7,18,36,22,0,1,50,2,2,9,1,0,0.271,0.336,0.404444444,0.740444444,0.252311111,0.306666667,0.664739884,24.10105159,0.89263154,29.39,0.133333333,1.75,0.858016,0.411946124,0.317647059,
알테어,NC,143,565,492,134,81,19,2,32,83,84,57,2,11,156,4,4,6,20,5,0.272,0.358156028,0.514227642,0.872383671,0.289727123,0.495934959,0.924119241,73.49508689,2.722040255,93.232,0.241869919,24.61538462,0.668651246,0.866920453,0.331168831,
양석환,두산,133,546,488,133,83,22,0,28,66,96,42,2,9,136,7,7,10,2,3,0.273,0.336996337,0.489754098,0.826750435,0.274086876,0.403688525,0.793478261,62.7107859,2.3226217,80.352,0.217213115,3.733333333,0.658860294,0.825869244,0.317220544,
양의지,NC,141,570,480,156,95,29,2,30,81,111,69,5,11,60,10,10,12,2,1,0.325,0.414035088,0.58125,0.995285088,0.331628289,0.529166667,1.071216617,103.7039052,3.840885377,110.47,0.25625,3.75,0.725959292,0.928418278,0.315,
예진원,Hero,52,132,114,18,10,6,1,1,16,8,12,0,2,28,1,4,2,0,1,0.158,0.248062016,0.254385965,0.50244798,0.175224398,0.263157895,0.434343434,3.191037594,0.118186578,7.166,0.096491228,0,1.188534884,0.012131494,0.197674419,
오윤석,롯데,33,76,69,16,7,7,0,2,9,5,7,1,0,21,0,0,2,2,0,0.232,0.302631579,0.420289855,0.722921434,0.241256674,0.449275362,0.690909091,5.79015,0.21445,8.392,0.188405797,2,1.991693333,0.038861273,0.304347826,
오윤석,KT,64,122,95,24,18,4,0,2,14,12,20,0,2,26,0,5,2,2,0,0.253,0.393162393,0.357894737,0.75105713,0.266396761,0.4,0.794520548,12.86329617,0.476418377,15.462,0.105263158,2,1.399606838,0.166355367,0.328358209,
오재원,두산,45,79,72,12,9,3,0,0,6,5,6,0,0,18,1,1,3,2,0,0.167,0.227848101,0.208333333,0.436181435,0.154614979,0.194444444,0.365079365,0.3646125,0.013504167,2.816,0.041666667,0,1.726670886,0.000160304,0.218181818,
오재일,삼성,120,484,418,119,74,20,0,25,64,97,58,8,0,106,8,8,5,1,0,0.285,0.365702479,0.511961722,0.877664202,0.292556546,0.476076555,0.898026316,66.41371707,2.459767299,80.252,0.227272727,1.923076923,0.70872479,0.841758431,0.318644068,
오준혁,SSG,26,50,46,10,6,2,0,2,7,5,4,0,0,15,0,0,2,0,0,0.217,0.28,0.391304348,0.671304348,0.223826087,0.347826087,0.578947368,2.74,0.101481481,4.58,0.173913043,0,2.72464,0.008973005,0.275862069,
오지환,LG,134,532,464,118,90,19,1,8,62,57,54,0,5,82,5,9,11,12,6,0.254,0.335227273,0.351293103,0.686520376,0.238675549,0.286637931,0.644628099,48.59276094,1.799731886,57.884,0.096982759,9.6,0.578123106,0.740104583,0.290237467,
오태곤,SSG,122,253,235,63,44,10,0,9,47,35,14,0,2,52,1,2,4,9,4,0.268,0.313492063,0.425531915,0.739023978,0.247454407,0.319148936,0.694444444,24.97679283,0.925066401,31.014,0.157446809,9,0.861313492,0.429340419,0.308571429,
유강남,LG,130,441,397,100,73,16,0,11,39,60,25,1,14,75,2,5,11,2,0,0.252,0.317351598,0.375314861,0.69266646,0.236636935,0.259445844,0.616883117,38.8928622,1.440476378,46.93,0.123425693,3.384615385,0.635187643,0.645927264,0.284345048,
유민상,KIA,24,74,60,14,11,2,0,1,7,6,8,0,6,18,0,0,1,0,0,0.233,0.378378378,0.316666667,0.695045045,0.249436937,0.266666667,0.70212766,6.621301802,0.2452334,8.486,0.083333333,0,1.956121622,0.050218287,0.317073171,
유장혁,한화,34,112,98,14,8,5,0,1,11,7,8,0,2,39,2,3,2,2,1,0.143,0.218181818,0.224489796,0.442671614,0.154304267,0.234693878,0.390804598,-0.874048378,-0.032372162,4.728,0.081632653,1.333333333,1.324672727,0.000920497,0.216666667,
유한준,KT,103,337,282,87,66,16,0,5,30,42,44,5,7,34,4,4,12,1,0,0.309,0.409495549,0.418439716,0.827935265,0.288882926,0.343971631,0.821256039,46.09080978,1.707067029,48.168,0.109929078,1.666666667,0.77846988,0.719259249,0.331983806,
윤형준,NC,51,81,74,22,17,0,0,5,10,10,3,0,0,17,1,4,2,0,1,0.297,0.320512821,0.5,0.820512821,0.269230769,0.297297297,0.727272727,9.30397561,0.344591689,11.374,0.202702703,0,1.924179487,0.094528592,0.320754717,
이대호,롯데,114,465,420,120,90,11,0,19,39,81,34,3,5,49,6,6,12,0,0,0.286,0.341935484,0.447619048,0.789554531,0.26577573,0.314285714,0.727564103,58.38826129,2.162528196,63.898,0.161904762,0,0.65888961,0.804363477,0.282122905,
이도윤,한화,56,68,63,11,11,0,0,0,5,2,4,0,0,18,0,1,1,1,2,0.175,0.223880597,0.174603175,0.398483772,0.144397062,0.047619048,0.290909091,-0.704756863,-0.026102106,1.246,0,0,1.944597015,0.000598646,0.244444444,
이동훈,한화,33,62,53,10,9,1,0,0,8,2,3,0,2,12,0,4,2,2,2,0.189,0.25862069,0.20754717,0.466167859,0.168266103,0.094339623,0.382978723,0.736266308,0.027269123,2.094,0.018867925,0,2.266103448,0.000653337,0.243902439,
이명기,NC,56,232,191,56,42,12,0,2,30,14,37,0,1,27,0,3,2,6,3,0.293,0.410480349,0.387434555,0.797914904,0.281574796,0.376963351,0.842857143,31.09799828,1.151777714,32.574,0.094240838,3,0.932545852,0.538386804,0.333333333,
이상호,LG,45,68,65,20,18,2,0,0,5,12,1,0,0,10,0,2,2,2,1,0.308,0.318181818,0.338461538,0.656643357,0.227797203,0.092307692,0.520833333,5.680564706,0.210391285,6.03,0.030769231,0,2.103257576,0.037458784,0.363636364,
이성곤,한화,60,206,172,46,31,12,2,1,17,24,29,0,3,52,1,2,4,0,3,0.267,0.380487805,0.377906977,0.758394782,0.265696256,0.348837209,0.729323308,19.69314643,0.729375794,24.794,0.110465116,0,0.96795122,0.318668936,0.375,
이성열,한화,46,140,119,25,15,8,0,2,15,20,18,0,1,36,2,2,2,1,0,0.21,0.314285714,0.327731092,0.642016807,0.223361345,0.361344538,0.614583333,9.212746479,0.341212833,14.112,0.117647059,1.333333333,1.1977,0.09285519,0.277108434,
이영빈,LG,71,168,148,36,25,9,0,2,21,16,14,0,3,51,2,3,1,6,3,0.243,0.317365269,0.344594595,0.661959864,0.22896302,0.290540541,0.637931034,11.50118235,0.425969717,17.762,0.101351351,3,1.062640719,0.137579949,0.350515464,
이용규,Hero,133,547,459,136,111,16,8,1,88,43,71,2,5,47,6,12,5,17,2,0.296,0.391866913,0.37254902,0.764415933,0.269477366,0.318082789,0.8,74.5075863,2.759540233,76.264,0.076252723,1.888888889,0.580419295,0.870045934,0.323741007,
이우성,KIA,65,100,85,17,12,5,0,0,12,4,13,0,0,17,1,2,2,2,1,0.2,0.303030303,0.258823529,0.561853832,0.201069519,0.282352941,0.521126761,5.236382838,0.193940105,7.514,0.058823529,0,1.497535354,0.03200995,0.246376812,
이원석,한화,43,130,114,20,17,1,1,1,12,9,8,0,2,43,2,6,1,4,2,0.175,0.238095238,0.228070175,0.466165414,0.164160401,0.166666667,0.412371134,1.347392424,0.049903423,6.986,0.052631579,1.6,1.158206349,0.002184689,0.263888889,
이원석,삼성,131,480,399,92,64,19,0,9,40,59,60,2,11,80,8,10,11,1,0,0.231,0.341004184,0.345864662,0.686868846,0.239918048,0.338345865,0.660377358,42.55024627,1.575935047,53.8,0.115288221,1.8,0.611932773,0.685881452,0.261006289,
이원재,NC,31,69,65,15,13,2,0,0,3,7,1,0,1,11,1,2,1,1,0,0.231,0.25,0.261538462,0.511538462,0.177884615,0.092307692,0.392156863,3.051034921,0.113001293,4.292,0.030769231,0,1.986426471,0.011101898,0.272727273,
이재원,LG,62,171,154,38,27,6,0,5,22,17,14,0,2,48,1,1,2,5,1,0.247,0.315789474,0.383116883,0.698906357,0.237884484,0.324675325,0.672268908,14.19607636,0.525780606,19.886,0.136363636,5,1.05894152,0.195524359,0.323529412,
이재원,SSG,107,313,271,76,60,13,0,3,29,30,29,4,5,47,2,8,14,0,2,0.28,0.358306189,0.361623616,0.719929805,0.251643689,0.239852399,0.625592417,28.46049383,1.054092364,32.194,0.081180812,0,0.75719802,0.494149504,0.32735426,
이정범,SSG,19,66,59,15,8,4,0,3,8,9,7,0,0,15,0,0,1,0,0,0.254,0.333333333,0.474576271,0.807909605,0.268644068,0.457627119,0.777777778,7.340424242,0.271867565,9.13,0.220338983,0,2.234242424,0.061017069,0.292682927,
이정후,Hero,123,544,464,167,112,42,6,7,78,84,62,1,9,37,9,9,8,10,3,0.36,0.4375,0.521551724,0.959051724,0.327262931,0.42887931,1.048701299,101.7103157,3.767048729,101.154,0.161637931,8.235294118,0.707259669,0.925794947,0.372960373,
이정훈,KIA,41,151,129,32,24,6,0,2,14,14,19,0,3,33,0,0,3,0,0,0.248,0.357615894,0.341085271,0.698701165,0.24619847,0.302325581,0.66,13.39245916,0.496017006,16.576,0.093023256,0,1.148933775,0.177839621,0.319148936,
이지영,Hero,108,258,233,64,58,5,1,0,29,31,19,2,1,17,3,5,10,3,1,0.275,0.328125,0.30472103,0.63284603,0.223836508,0.145922747,0.522222222,22.21718553,0.822858723,22.744,0.030042918,0,0.762433071,0.373155164,0.292237443,
이창진,KIA,105,293,249,52,40,8,1,3,35,33,36,0,1,54,3,7,10,5,0,0.209,0.307958478,0.285140562,0.59309904,0.209866455,0.289156627,0.54589372,17.25062162,0.638911912,24.128,0.076305221,3.75,0.71383737,0.264105021,0.251282051,
