선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
강민호,삼성,123,462,406,118,78,22,0,18,55,67,45,4,4,53,7,7,18,0,0,0.291,0.361471861,0.477832512,0.839304374,0.282120466,0.396551724,0.794117647,60.38426363,2.236454209,66.926,0.187192118,0,0.700368996,0.814726616,0.292397661
강백호,KT,142,628,516,179,122,40,1,16,76,102,104,10,0,85,8,8,7,10,5,0.347,0.450636943,0.521317829,0.971954772,0.333116082,0.496124031,1.097421203,112.6474205,4.172126684,118.22,0.174418605,12.30769231,0.691964401,0.938663882,0.38534279
강승호,두산,113,340,301,72,47,16,2,7,47,37,22,1,6,78,3,11,8,8,2,0.239,0.301204819,0.375415282,0.676620102,0.229395989,0.312292359,0.623430962,25.13982857,0.931104762,34.766,0.136212625,7.466666667,0.713649547,0.432531478,0.296803653
강진성,NC,124,462,406,101,74,20,0,7,49,38,36,2,14,68,2,6,12,9,3,0.249,0.329694323,0.349753695,0.679448018,0.235800869,0.270935961,0.628125,40.30059923,1.492614786,47.506,0.100985222,7.875,0.618313596,0.662017022,0.282282282
강한울,삼성,124,258,223,58,53,5,0,0,25,27,29,0,0,58,3,6,5,2,2,0.26,0.341176471,0.282511211,0.623687681,0.224157214,0.174887892,0.546511628,18.2182464,0.674749867,23.866,0.022421525,0,0.768047059,0.285857383,0.345238095
고종욱,SSG,88,199,180,48,41,5,0,2,25,18,16,0,0,30,2,3,6,2,3,0.267,0.323232323,0.327777778,0.651010101,0.22739899,0.183333333,0.546099291,15.49875655,0.57402802,18.34,0.061111111,2,0.920429293,0.224624494,0.306666667
구자욱,삼성,139,610,543,166,104,30,10,22,107,88,48,3,6,98,12,13,9,27,4,0.306,0.361247947,0.519337017,0.880584964,0.29239583,0.458563536,0.930769231,92.16469689,3.413507292,104.266,0.213627993,24.24489796,0.637935644,0.911065721,0.331034483
권희동,NC,55,171,133,35,24,3,0,8,25,26,29,1,5,24,3,4,4,2,0,0.263,0.405882353,0.466165414,0.872047766,0.299188412,0.518796992,0.960784314,24.70104777,0.914853621,28.288,0.203007519,3.2,1.140656805,0.423909295,0.259615385
김강민,SSG,122,260,223,53,32,12,1,8,43,27,25,1,6,52,3,6,3,3,3,0.238,0.326848249,0.408071749,0.734919998,0.249099649,0.376681614,0.710227273,24.55166236,0.909320828,31.754,0.170403587,4.363636364,0.852890625,0.420949258,0.271084337
김기환,NC,62,149,140,29,17,7,2,3,19,13,8,0,0,45,0,1,1,15,3,0.207,0.25,0.35,0.6,0.2,0.371428571,0.626086957,7.86081745,0.291141387,13.72,0.142857143,5,1.111391892,0.069353962,0.282608696
김동엽,삼성,69,203,185,44,31,9,0,4,20,24,10,0,4,42,4,4,2,2,1,0.238,0.285714286,0.351351351,0.637065637,0.216409266,0.243243243,0.5625,14.57089801,0.539662889,20.414,0.113513514,2.666666667,0.920359606,0.203853042,0.27972028
김민성,LG,121,426,360,80,50,22,0,8,35,39,42,2,8,73,5,16,7,3,3,0.222,0.313253012,0.35,0.663253012,0.228463855,0.327777778,0.617241379,32.55218128,1.205636344,42.876,0.127777778,4.363636364,0.648237288,0.561007469,0.253521127
김민수,롯데,82,224,199,48,33,11,1,3,19,25,18,0,3,62,1,4,4,0,0,0.241,0.312217195,0.351758794,0.663975989,0.228437436,0.27638191,0.587096774,15.20290123,0.563070416,21.884,0.110552764,0,0.885167421,0.217982151,0.333333333
김민식,KIA,100,301,250,55,44,8,0,3,30,26,41,1,4,49,3,6,2,0,0,0.22,0.33557047,0.288,0.62357047,0.223006711,0.276,0.593908629,23.98451199,0.888315259,29.958,0.068,0,0.720191919,0.409599718,0.258706468
김민혁,KT,75,199,172,55,46,6,2,1,22,13,20,0,2,26,0,5,3,6,3,0.32,0.396907216,0.395348837,0.792256054,0.277445457,0.261627907,0.780487805,26.14317543,0.968265757,26.792,0.075581395,1.714285714,0.988850515,0.451834674,0.372413793
김상수,삼성,132,496,429,101,80,17,1,3,46,42,52,0,3,51,4,12,14,4,2,0.235,0.319672131,0.300699301,0.620371432,0.219027284,0.24009324,0.546511628,37.85826667,1.402158025,43.232,0.065268065,3.428571429,0.561520492,0.633500071,0.258575198
김선빈,KIA,130,564,501,154,117,32,0,5,55,67,56,2,1,39,5,6,19,0,0,0.307,0.374777975,0.401197605,0.77597558,0.26894949,0.279441118,0.704918033,71.00904886,2.629964773,71.458,0.093812375,0,0.614522282,0.858778044,0.322510823
김성현,SSG,110,274,237,67,46,15,0,6,27,37,29,0,0,29,4,8,8,5,1,0.283,0.355555556,0.421940928,0.777496484,0.265485232,0.367088608,0.748603352,32.74678129,1.212843752,36.188,0.139240506,5.454545455,0.850074074,0.563941081,0.296116505
김웅빈,Hero,97,279,232,56,36,13,1,6,24,35,34,2,9,73,2,4,2,1,1,0.241,0.357400722,0.38362069,0.741021412,0.256735497,0.375,0.74301676,26.44356726,0.97939138,35.076,0.142241379,1.714285714,0.820752727,0.457500027,0.322580645
김인태,두산,133,418,344,89,65,15,1,8,51,46,62,0,3,68,4,9,10,0,2,0.259,0.372881356,0.377906977,0.750788333,0.262273354,0.363372093,0.730337079,44.47224297,1.64712011,51.966,0.119186047,0,0.673891041,0.704598677,0.297794118
김재유,롯데,87,192,174,50,41,8,0,1,27,18,10,0,4,36,0,4,1,7,0,0.287,0.340425532,0.350574713,0.691000245,0.240835168,0.212643678,0.656,19.51674687,0.722842477,22.062,0.063218391,1.75,0.981367021,0.314774576,0.357664234
김재호,두산,89,251,211,44,35,8,0,1,23,24,29,0,2,34,3,9,7,1,1,0.209,0.306122449,0.260663507,0.566785956,0.202920979,0.232227488,0.497142857,14.22155844,0.526724387,18.678,0.052132701,1,0.778742857,0.19608916,0.240223464
김재환,두산,137,566,475,130,78,23,2,27,86,102,81,3,5,127,5,5,9,2,3,0.274,0.381625442,0.501052632,0.882678073,0.296994607,0.505263158,0.913165266,76.01563993,2.815394071,91.544,0.227368421,3.724137931,0.67173357,0.874510397,0.31595092
김주원,NC,69,189,166,40,27,7,1,5,20,16,17,0,2,57,2,4,5,6,2,0.241,0.315508021,0.385542169,0.70105019,0.238364152,0.34939759,0.669172932,13.81819988,0.511785181,20.934,0.144578313,5.454545455,0.995791444,0.187176216,0.330188679
김지찬,삼성,120,336,296,81,74,6,0,1,50,26,27,0,0,31,3,13,0,23,4,0.274,0.331288344,0.304054054,0.635342398,0.225093268,0.209459459,0.639269406,34.37230049,1.273048166,36.832,0.030405405,1.916666667,0.66996319,0.587603007,0.299625468
김태군,NC,102,276,232,51,37,7,0,7,23,24,21,0,11,30,3,12,4,0,1,0.22,0.310861423,0.340517241,0.651378665,0.225016951,0.267241379,0.596774194,23.17630824,0.858381787,27.76,0.120689655,0,0.784827715,0.393129626,0.222222222
김태연,한화,53,220,176,53,38,12,0,3,29,34,34,0,5,44,5,5,4,5,3,0.301,0.418181818,0.420454545,0.838636364,0.293295455,0.409090909,0.907692308,29.07716049,1.07693187,34.308,0.119318182,3.75,0.971968182,0.504867113,0.373134328
김태진,KIA,99,414,381,105,87,12,5,1,43,36,23,1,0,64,4,10,7,8,5,0.276,0.31372549,0.341207349,0.654932839,0.226478308,0.181102362,0.559027778,35.12206507,1.300817225,40.288,0.065616798,1.777777778,0.599678133,0.59802008,0.325
김헌곤,삼성,118,364,317,89,75,8,2,4,38,27,34,0,5,46,5,8,9,5,4,0.281,0.354570637,0.356466877,0.711037514,0.248673506,0.230283912,0.651452282,37.77581229,1.399104159,41.932,0.075709779,4.444444444,0.67298615,0.632487025,0.3125
김현수,LG,140,595,506,144,103,23,1,17,70,96,77,5,3,42,9,9,7,3,0,0.285,0.376470588,0.434782609,0.811253197,0.278107417,0.389328063,0.821138211,84.42767406,3.126950891,89.054,0.150197628,5.1,0.616518644,0.895795192,0.278508772
김혜성,Hero,144,635,559,170,144,20,3,3,99,66,65,3,1,97,10,10,8,46,4,0.304,0.371653543,0.366726297,0.73837984,0.258925669,0.300536673,0.790523691,79.76215745,2.95415398,88.364,0.062611807,5.632653061,0.545672468,0.884694923,0.356076759
김호령,KIA,62,154,130,27,21,2,0,4,16,15,16,0,6,44,0,2,2,4,1,0.208,0.322368421,0.315384615,0.637753036,0.223911943,0.3,0.632075472,10.02557662,0.371317653,15.298,0.107692308,4,1.107013158,0.108113434,0.280487805
나성범,NC,144,623,570,160,97,29,1,33,96,101,38,2,11,155,4,4,5,1,2,0.281,0.335473515,0.50877193,0.844245445,0.278156064,0.403508772,0.815347722,77.3161546,2.863561281,95.61,0.228070175,1.941176471,0.645487923,0.878186618,0.329015544
노수광,한화,52,180,160,37,27,7,0,3,21,14,17,0,1,46,0,2,1,13,1,0.231,0.308988764,0.33125,0.640238764,0.221857444,0.34375,0.672,13.91578704,0.51539952,19.272,0.1,4.875,1.003061798,0.189327008,0.306306306
노시환,한화,107,458,380,103,66,18,1,18,56,84,73,9,1,107,4,4,15,5,2,0.271,0.386462882,0.465789474,0.852252356,0.290355665,0.492105263,0.870748299,55.12558653,2.04168839,67.834,0.194736842,7.826086957,0.703648107,0.785631441,0.328185328
노진혁,NC,107,384,330,95,65,22,0,8,41,58,42,0,5,90,3,7,3,1,1,0.288,0.373684211,0.427272727,0.800956938,0.274976077,0.357575758,0.790794979,45.03066081,1.667802252,54.11,0.139393939,1.777777778,0.737668421,0.709766501,0.370212766
라모스,LG,51,205,185,45,29,7,1,8,14,25,18,0,2,43,0,0,2,0,0,0.243,0.317073171,0.421621622,0.738694792,0.248088332,0.362162162,0.690140845,20.32808943,0.752892201,25.216,0.178378378,0,0.964717073,0.332604295,0.276119403
로맥,SSG,107,421,355,80,49,11,0,20,55,52,59,1,4,82,3,3,9,1,0,0.225,0.339667458,0.425352113,0.765019571,0.259188384,0.456338028,0.757042254,43.59238795,1.614532887,55.224,0.2,1.904761905,0.687483333,0.696212852,0.234375
류지혁,KIA,92,327,273,76,66,8,0,2,37,34,42,1,7,46,3,5,7,0,0,0.278,0.384615385,0.32967033,0.714285714,0.255494505,0.241758242,0.681372549,35.34486869,1.309069211,38.832,0.051282051,0,0.720212963,0.601056589,0.324561404
마차도,롯데,134,539,466,130,103,21,1,5,83,58,58,1,4,65,7,11,9,8,4,0.279,0.358878505,0.360515021,0.719393526,0.251624082,0.272532189,0.681948424,58.8708628,2.180402326,64.95,0.081545064,6.153846154,0.587001873,0.806941141,0.310173697
문보경,LG,107,329,278,64,44,11,1,8,37,39,46,1,0,64,2,5,5,3,1,0.23,0.337423313,0.363309353,0.700732665,0.242667829,0.377697842,0.681818182,29.70989862,1.100366616,37.568,0.133093525,4.363636364,0.729249231,0.515625813,0.269230769
박건우,두산,126,525,458,149,110,31,2,6,82,63,50,2,11,72,6,6,16,13,0,0.325,0.4,0.441048035,0.841048035,0.290262009,0.338427948,0.849230769,74.60739234,2.763236753,79.094,0.115720524,8.210526316,0.658173996,0.870348345,0.370466321
박경수,KT,118,280,239,46,27,10,0,9,24,33,34,2,3,76,0,4,7,0,1,0.192,0.300724638,0.347280335,0.648004972,0.222146171,0.372384937,0.597014925,15.54546071,0.575757804,25.332,0.154811715,0,0.784711679,0.225674334,0.24025974
박계범,두산,118,385,322,86,68,12,1,5,44,46,44,0,9,68,3,10,8,4,3,0.267,0.367724868,0.357142857,0.724867725,0.254761905,0.285714286,0.696356275,38.74382955,1.43495665,45.426,0.090062112,4.444444444,0.680732804,0.644169196,0.321428571
박동원,Hero,131,481,413,103,60,21,0,22,61,83,53,0,7,114,3,8,12,2,0,0.249,0.342436975,0.460048426,0.802485401,0.269108745,0.447941889,0.782608696,51.12449486,1.89349981,65.738,0.210653753,3.666666667,0.682941176,0.759161971,0.289285714
박민우,NC,50,215,180,47,38,5,3,1,30,18,22,0,7,23,2,6,4,12,3,0.261,0.360189573,0.338888889,0.699078462,0.24680753,0.3,0.728571429,23.35785561,0.865105763,25.566,0.077777778,1.846153846,0.892919431,0.396858932,0.291139241
박병호,Hero,118,477,409,93,50,23,0,20,48,76,47,3,14,141,7,7,9,0,1,0.227,0.322851153,0.430317848,0.753169001,0.252862481,0.420537897,0.726993865,40.67065124,1.506320416,60.482,0.202933985,0,0.660989451,0.666095165,0.28627451
