Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_17,Team,OBP,SLG,OPS
백창수,122.0,101.0,18.0,15.0,33.0,9.0,0.0,4.0,1.0,0.0,3.0,2.0,12.0,0.0,4.0,18.0,4.0,1.0,24.0,6.666666666999999,20.0,8.0,외,4200,LG,0.4117647058823529,0.5346534653465347,0.9464181712288876
이해창,283.0,254.0,44.0,33.0,69.0,11.0,0.0,11.0,1.0,4.0,6.0,2.0,19.0,1.0,1.0,50.0,5.0,6.0,41.0,16.5,71.0,22.0,포,4500,KT,0.322463768115942,0.4448818897637795,0.7673456578797215
백상원,51.0,46.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,11.0,0.0,2.0,6.0,2.5,9.0,3.0,내,9000,SS,0.18,0.13043478260869565,0.3104347826086956
문선엽,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,외,2700,SS,0.0,0.0,0.0
정훈,136.0,109.0,6.0,16.0,27.0,8.0,2.0,1.0,3.0,1.0,3.0,1.0,18.0,0.0,5.0,28.0,4.0,3.0,35.0,1.5,25.0,2.0,내,15000,LT,0.37593984962406013,0.3853211009174312,0.7612609505414913
오태곤,410.0,374.0,42.0,53.0,106.0,29.0,1.0,9.0,15.0,9.0,8.0,6.0,16.0,0.0,6.0,93.0,7.0,10.0,69.0,13.5,96.0,22.0,내,6000,KT,0.31840796019900497,0.4385026737967914,0.7569106339957964
이상호,241.0,227.0,15.0,33.0,76.0,8.0,0.0,0.0,12.0,2.0,5.0,0.0,7.0,0.0,2.0,15.0,7.0,8.0,63.0,11.75,52.0,14.0,내,4800,NC,0.3601694915254237,0.3700440528634361,0.7302135443888598
홍재호,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,3700,HT,,,
이인행,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,내,3100,HT,0.0,0.0,0.0
최병연,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,내,3300,HT,0.0,0.0,0.0
