,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
60100,21.0,18.0,3.0,4.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,1.0,3.0,1.0
60146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60343,254.0,231.0,22.0,16.0,47.0,10.0,0.0,6.0,1.0,1.0,8.0,3.0,9.0,0.0,3.0,65.0,7.0,8.0,36.0,5.833333333000001,59.0,8.0
60404,52.0,47.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,7.0,0.0,8.0,0.0
60456,517.0,445.0,49.0,60.0,128.0,19.0,3.0,3.0,8.0,3.0,10.0,7.0,51.0,0.0,4.0,69.0,15.0,8.0,106.0,26.916666665999998,122.0,38.0
60496,63.0,50.0,2.0,7.0,11.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,10.0,0.0,1.0,14.0,3.0,1.0,11.0,3.5,16.0,4.0
60523,439.0,370.0,46.0,48.0,97.0,18.0,2.0,2.0,7.0,7.0,8.0,2.0,43.0,0.0,16.0,75.0,12.0,11.0,81.0,25.166666667,101.0,36.0
60558,135.0,123.0,7.0,17.0,32.0,6.0,0.0,3.0,6.0,2.0,0.0,0.0,12.0,0.0,0.0,37.0,5.0,2.0,22.0,4.333333333000001,36.0,6.0
60559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60566,27.0,25.0,1.0,1.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,12.0,0.333333333,7.0,1.0
60605,16.0,13.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0
60636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60658,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
60667,33.0,29.0,4.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,10.0,1.0,0.0,4.0,2.0,10.0,2.0
60724,14.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0
60757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60768,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60805,17.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,0.0
